name,smiles,kind,source
CPME,COC1CCCC1,smiles,reference
DEC,CCOC(=O)OCC,smiles,reference
Diglyme,COCCOCCOC,smiles,reference
Dioxane,C1COCCO1,smiles,reference
DMC,COC(=O)OC,smiles,reference
DME,COCCOC,smiles,reference
DOL,C1COCO1,smiles,reference
DTD,O=S1(=O)OC=CO1,smiles,reference
EC,O=C1OCCO1,smiles,reference
EMC,CCOC(=O)OC,smiles,reference
FEC,O=C1OCC(F)O1,smiles,reference
PC,CC1COC(=O)O1,smiles,reference
PF6,F[P-](F)(F)(F)(F)F,smiles,reference
Tetraglyme,COCCOCCOCCOCCOC,smiles,reference
THF,C1CCOC1,smiles,reference
Triglyme,COCCOCCOCCOC,smiles,reference
TTE,FC(F)C(F)(F)COC(F)(F)C(F)F,smiles,reference
VC,O=c1occo1,smiles,reference
glucose_0,*OC1OC(CO)C(*)C(O)C1O,psmiles,reference
glucose_2,*OC1OC(CO)C(*)C(O)C1OCC(=O)[O-],psmiles,reference
glucose_3,*OC1OC(CO)C(*)C(OCC(=O)[O-])C1O,psmiles,reference
glucose_6,*OC1OC(COCC(=O)[O-])C(*)C(O)C1O,psmiles,reference
glucose_23,*OC1OC(CO)C(*)C(OCC(=O)[O-])C1OCC(=O)[O-],psmiles,reference
glucose_26,*OC1OC(COCC(=O)[O-])C(*)C(O)C1OCC(=O)[O-],psmiles,reference
glucose_36,*OC1OC(COCC(=O)[O-])C(*)C(OCC(=O)[O-])C1O,psmiles,reference
glucose_236,*OC1OC(COCC(=O)[O-])C(*)C(OCC(=O)[O-])C1OCC(=O)[O-],psmiles,reference
Li,[Li+],smiles,extra
ClO4,[O-][Cl](=O)(=O)=O,smiles,extra
BF4,F[B-](F)(F)F,smiles,extra
AsF6,F[As-](F)(F)(F)(F)F,smiles,extra
FSI,FS(=O)(=O)[N-]S(=O)(=O)F,smiles,extra
TFSI,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,smiles,extra
